datum,menu1,menu2,dessert
07.07.2025,Nudeln Bolognese mit Salat vom Buffet,Vegane Nudeln Bolognese mit Salat vom Buffet,Tagesdessert
08.07.2025,"Salatbuffet mit Rinderhacksteak, Dip und Brot/Brötchen","Salatbuffet mit Bratling, Dip und Brot/Brötchen",Tagesdessert
09.07.2025,Gnocchi mit Lachs Gorgonzola-Soße und Salat vom Buffet,Gnocchi mit Spinat-,Tagesdessert
10.07.2025,Salatbuffet mit Antipasti und Brot/Brötchen,Salatbuffet mit veganer Antipasti und Brot/Brötchen,Tagesdessert
11.07.2025,Schlemmerfilet ,Veganes Schlemmerfilet mit ,Tagesdessert
14.07.2025,"Schnitzel mit Paprikasoße, Pommes und Salat vom Buffet","Veganes Schnitzel mit Paprikasoße, Pommes und Salat vom Buffet",Tagesdessert
15.07.2025,"Salatbuffet mit überbackenen Hacksteak, Dip und Brot/Brötchen","Salatbuffet mit veganem überbackenen Hacksteak, Dip und Brot/Brötchen",Tagesdessert
16.07.2025,Salt Beef mit Kartoffelpüree und Salat vom Buffet,"Veganes Rührei mit Kartoffelpüree, Spinat und Salat vom Buffet",Tagesdessert
17.07.2025,Salatbuffet mit Pizza Mista,Salatbuffet mit veganer Pizza Mista,Tagesdessert
18.07.2025,Paglia e Fieno mit Hänchenstreifen und Champignons,Paglia e Fieno mit veganen Hänchenstreifen und Champignons,Tagesdessert
